Year,Time (UTC),Hamal RA (deg),Sun Illumination (%)
2000,2000-04-24 02:22:45,31.963,100.0
2001,2001-04-24 08:55:13,31.976,100.0
2002,2002-04-24 15:25:16,31.990,100.0
2003,2003-04-24 21:50:15,32.005,100.0
2004,2004-04-24 04:20:03,32.020,100.0
2005,2005-04-24 10:57:06,32.035,100.0
2006,2006-04-24 17:29:11,32.050,100.0
2007,2007-04-24 23:57:05,32.066,100.0
2008,2008-04-24 06:31:12,32.082,100.0
2009,2009-04-24 13:05:59,32.097,100.0
2010,2010-04-24 19:38:14,32.112,100.0
2011,2011-04-25 02:09:51,32.127,100.0
2012,2012-04-24 08:42:27,32.141,100.0
2013,2013-04-24 15:18:23,32.155,100.0
2014,2014-04-24 21:47:01,32.168,100.0
2015,2015-04-25 04:09:09,32.180,100.0
2016,2016-04-24 10:38:29,32.193,100.0
2017,2017-04-24 17:09:02,32.205,100.0
2018,2018-04-24 23:33:59,32.218,100.0
2019,2019-04-25 05:58:11,32.231,100.0
2020,2020-04-24 12:24:50,32.244,100.0
2021,2021-04-24 18:59:08,32.258,100.0
2022,2022-04-25 01:32:12,32.273,100.0
2023,2023-04-25 08:03:45,32.288,100.0
2024,2024-04-24 14:41:22,32.303,100.0
2025,2025-04-24 21:21:20,32.319,100.0
2026,2026-04-25 03:51:12,32.335,100.0
2027,2027-04-25 10:19:33,32.350,100.0
2028,2028-04-24 16:52:26,32.366,100.0
2029,2029-04-24 23:25:44,32.381,100.0
2030,2030-04-25 05:56:44,32.395,100.0
2031,2031-04-25 12:21:06,32.409,100.0
2032,2032-04-24 18:48:48,32.422,100.0
2033,2033-04-25 01:23:22,32.435,100.0
2034,2034-04-25 07:48:48,32.448,100.0
2035,2035-04-25 14:15:53,32.460,100.0
2036,2036-04-24 20:50:37,32.473,100.0
2037,2037-04-25 03:21:01,32.485,100.0
2038,2038-04-25 09:51:02,32.499,100.0
2039,2039-04-25 16:16:40,32.512,100.0
2040,2040-04-24 22:46:24,32.527,100.0
2041,2041-04-25 05:25:01,32.542,100.0
2042,2042-04-25 11:52:19,32.557,100.0
2043,2043-04-25 18:18:58,32.572,100.0
2044,2044-04-25 00:54:41,32.588,100.0
2045,2045-04-25 07:27:23,32.604,100.0
2046,2046-04-25 14:02:27,32.619,100.0
2047,2047-04-25 20:35:46,32.634,100.0
2048,2048-04-25 03:08:13,32.649,100.0
2049,2049-04-25 09:47:12,32.664,100.0
